OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	taxonomy
otu67	0	0	0	35	57	0	27	0	0	0	0	29	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;uncultured_bacterium
otu68	0	0	73	0	0	21	0	0	0	0	0	0	0	0	0	0	71	0	20	0	0	0	0	0	0	0	0	84	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;uncultured_bacterium
otu69	30	0	0	0	0	37	0	0	0	0	0	43	0	0	0	0	50	0	0	0	0	0	0	100	0	0	0	51	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;uncultured_bacterium
otu70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus_lentus
otu71	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Oceanivirga;uncultured_bacterium
otu72	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	506	0	0	0	0	0	346	0	0	83	0	141	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_undef_
otu73	0	0	36	0	128	632	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;_undef_
otu74	0	0	44	0	0	124	0	0	0	0	0	0	0	25	0	0	36	0	0	0	0	0	0	0	21	0	0	23	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;uncultured_bacterium
otu75	0	0	0	57	67	0	30	0	0	126	19	23	0	0	0	0	29	0	0	0	0	0	0	22	17	39	0	0	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;_undef_
otu76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_undef_
otu77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	33	0	0	0	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium_necrophorum_subsp._necrophorum
otu78	23	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Ambiguous_taxa
otu79	0	0	147	0	0	64	0	0	0	0	0	28	0	0	0	0	15	0	0	0	0	0	0	0	83	24	18	13	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Tissierella;uncultured_bacterium
otu80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium_necrophorum_subsp._necrophorum
otu81	0	0	27	0	0	138	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;Ambiguous_taxa
otu82	0	0	0	0	0	0	21	15	0	0	0	0	118	0	995	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Sphingobacterium_faecium
otu83	0	0	45	0	0	49	0	16	18	0	0	0	0	0	0	0	46	51	0	0	59	0	0	0	0	44	42	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
otu84	0	0	120	0	63	51	0	0	0	0	21	0	0	0	0	0	63	0	126	0	28	0	0	0	0	0	26	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Moheibacter;uncultured_bacterium
otu85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Ambiguous_taxa
otu86	0	32	42	29	0	142	39	15	0	0	44	0	0	0	23	0	0	0	0	21	0	0	0	30	35	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter;uncultured_bacterium
otu87	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;uncultured_bacterium
otu88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;_undef_
otu89	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Ambiguous_taxa
otu90	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	111	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;_undef_
otu91	0	0	17	0	41	118	0	38	85	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	22	0	9	27	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;uncultured_bacterium
otu92	0	7	219	0	48	7	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	16	0	0	60	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;uncultured_bacterium
otu93	0	7	181	0	50	34	51	0	0	0	0	24	9	0	0	0	9	77	78	0	0	0	0	0	32	17	26	0	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Taibaiella;uncultured_bacterium
otu94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;_undef_
otu95	0	0	218	0	0	0	0	0	0	16	0	21	17	0	34	0	38	0	0	4	0	0	0	0	0	0	50	14	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;uncultured_bacterium
otu96	0	44	0	30	0	86	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	36	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;uncultured_bacterium
otu97	0	0	0	0	196	0	0	0	88	0	0	0	62	0	0	0	0	69	19	0	0	0	0	0	0	81	0	0	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;_undef_
