k	d	c	o	f	g	s	OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	Nesterenkonia_sp._Bact_90	Bact_90	0	1	0	1	5	0	0	0	0	0	0	0	0	8	1
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis_Bact_92	Bact_92	0	0	0	4	0	0	0	1	1	3	2	3	0	0	1
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_sp._Bact_98	Bact_98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium_anthropi_Bact_115	Bact_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter_sp._Bact_123	Bact_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_Fungi_1	Fungi_1	19449	19428	15152	15931	19247	22898	1373	2333	676	1381	1402	6388	7964	22454	10302
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Debaryomyces	Debaryomyces_hansenii_Fungi_2	Fungi_2	223	298	234	389	2005	487	8192	15069	19654	23405	19333	17171	1202	5478	6354
Fungi	Eurotiomycetes	Eurotiales	Eurotiales	Trichocomaceae	Penicillium	Penicillium_fuscoglaucum_M4U_Fungi_3	Fungi_3	1104	214	477	178	986	549	16253	1619	5873	1155	2633	7198	4634	563	4482
Fungi	Sordariomycetes	Microascales	Microascales	Microascaceae	unidentified	Microascaceae_sp_Fungi_4	Fungi_4	235	343	168	609	5496	4113	18	50	10	1	113	1374	306	82	229
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Yarrowia	Yarrowia_lipolytica_Fungi_6	Fungi_6	0	4	0	5	14	1	5	2	0	3	57	18	0	13	0
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Debaryomyces	Debaryomyces_hansenii_Fungi_11	Fungi_11	2	3	1	2	25	5	70	116	179	215	161	166	13	38	60
Fungi	Sordariomycetes	Microascales	Microascales	Microascaceae	unidentified	Microascaceae_sp_Fungi_9	Fungi_9	5	10	4	10	389	678	19	39	8	0	62	464	37	29	73
Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_Fungi_10	Fungi_10	127	110	86	106	116	124	8	17	3	11	7	34	49	132	53
Fungi	Eurotiomycetes	Arachnomycetales	Arachnomycetales	Arachnomycetaceae	Arachnomyces	Arachnomyces_nodosetosus_Fungi_17	Fungi_17	0	1	1	0	389	15	1	0	0	0	0	6	0	0	1
